customerNumber;customerName;contactLastName;contactFirstName;phone;addressLine1;addressLine2;city;state;postalCode;country;salesRepEmployeeNumber;creditLimit
103;Atelier graphique;Schmitt;Carine ;40.32.2555;54, rue Royale;;Nantes;;44000;France;1370;21000.0
112;Signal Gift Stores;King;Jean;7025551838;8489 Strong St.;;Las Vegas;NV;83030;USA;1166;71800.0
119;La Rochelle Gifts;Labrune;Janine ;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;France;1370;118200.0
124;Mini Gifts Distributors Ltd.;Nelson;Susan;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;1165;210500.0
129;Mini Wheels Co.;Murphy;Julie;6505555787;5557 North Pendale Street;;San Francisco;CA;94217;USA;1165;64600.0
131;Land of Toys Inc.;Lee;Kwai;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;1323;114900.0
146;Saveley & Henriot, Co.;Saveley;Mary ;78.32.5555;2, rue du Commerce;;Lyon;;69004;France;1337;123900.0
151;Muscle Machine Inc;Young;Jeff;2125557413;4092 Furth Circle;Suite 400;NYC;NY;10022;USA;1286;138500.0
157;Diecast Classics Inc.;Leong;Kelvin;2155551555;7586 Pompton St.;;Allentown;PA;70267;USA;1216;100600.0
161;Technics Stores Inc.;Hashimoto;Juri;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;1165;84600.0
168;American Souvenirs Inc;Franco;Keith;2035557845;149 Spinnaker Dr.;Suite 101;New Haven;CT;97823;USA;1286;0.0
171;Daedalus Designs Imports;Rancé;Martine ;20.16.1555;184, chaussée de Tournai;;Lille;;59000;France;1370;82900.0
172;La Corne D'abondance, Co.;Bertrand;Marie;(1) 42.34.2555;265, boulevard Charonne;;Paris;;75012;France;1337;84300.0
173;Cambridge Collectables Co.;Tseng;Jerry;6175555555;4658 Baden Av.;;Cambridge;MA;51247;USA;1188;43400.0
175;Gift Depot Inc.;King;Julie;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;USA;1323;84300.0
181;Vitachrome Inc.;Frick;Michael;2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;10022;USA;1286;76400.0
198;Auto-Moto Classics Inc.;Taylor;Leslie;6175558428;16780 Pompton St.;;Brickhaven;MA;58339;USA;1216;23000.0
204;Online Mini Collectables;Barajas;Miguel;6175557555;7635 Spinnaker Dr.;;Brickhaven;MA;58339;USA;1188;68700.0
205;Toys4GrownUps.com;Young;Julie;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;USA;1166;90700.0
209;Mini Caravy;Citeaux;Frédérique ;88.60.1555;24, place Kléber;;Strasbourg;;67000;France;1370;53800.0
219;Boards & Toys Co.;Young;Mary;3105552373;4097 Douglas Av.;;Glendale;CA;92561;USA;1166;11000.0
239;Collectable Mini Designs Co.;Thompson;Valarie;7605558146;361 Furth Circle;;San Diego;CA;91217;USA;1166;105000.0
242;Alpha Cognac;Roulet;Annette ;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;31000;France;1370;61100.0
